Choosing point 0 as the root ...
Point 139 has a distance 108 to the tree, parent 0;
Point 140 has a distance 12 to the tree, parent 0;
Point 141 has a distance 52 to the tree, parent 0;
Point 142 has a distance 74 to the tree, parent 0;
Point 143 has a distance 12 to the tree, parent 0;
Point 144 has a distance 101 to the tree, parent 0;
Point 145 has a distance 57 to the tree, parent 0;
Point 146 has a distance 65 to the tree, parent 0;
Point 147 has a distance 92 to the tree, parent 0;
Point 148 has a distance 35 to the tree, parent 0;
Point 149 has a distance 80 to the tree, parent 0;
Point 150 has a distance 75 to the tree, parent 0;
Point 151 has a distance 127 to the tree, parent 0;
Point 152 has a distance 56 to the tree, parent 0;
Point 153 has a distance 131 to the tree, parent 0;
Point 154 has a distance 39 to the tree, parent 0;
Point 155 has a distance 40 to the tree, parent 0;
Point 156 has a distance 24 to the tree, parent 0;
Point 157 has a distance 101 to the tree, parent 0;
Point 158 has a distance 150 to the tree, parent 0;
Point 159 has a distance 65 to the tree, parent 0;
Point 160 has a distance 62 to the tree, parent 0;
Point 161 has a distance 25 to the tree, parent 0;
Point 162 has a distance 63 to the tree, parent 0;
Point 163 has a distance 7 to the tree, parent 0;
Point 164 has a distance 77 to the tree, parent 0;
Point 165 has a distance 85 to the tree, parent 0;
Point 166 has a distance 95 to the tree, parent 0;
Point 167 has a distance 94 to the tree, parent 0;
Point 168 has a distance 131 to the tree, parent 0;
Point 169 has a distance 101 to the tree, parent 0;
Point 170 has a distance 32 to the tree, parent 0;
Point 171 has a distance 109 to the tree, parent 0;
Point 172 has a distance 74 to the tree, parent 0;
Point 173 has a distance 58 to the tree, parent 0;
Point 174 has a distance 94 to the tree, parent 0;
Point 175 has a distance 89 to the tree, parent 0;
Point 176 has a distance 27 to the tree, parent 0;
Point 177 has a distance 102 to the tree, parent 0;
Point 178 has a distance 93 to the tree, parent 0;
Point 179 has a distance 27 to the tree, parent 0;
Point 180 has a distance 43 to the tree, parent 0;
Point 181 has a distance 22 to the tree, parent 0;
Point 182 has a distance 8 to the tree, parent 0;
Point 183 has a distance 42 to the tree, parent 0;
Point 184 has a distance 110 to the tree, parent 0;
Point 185 has a distance 36 to the tree, parent 0;
Point 186 has a distance 64 to the tree, parent 0;
Point 187 has a distance 67 to the tree, parent 0;
Point 188 has a distance 3 to the tree, parent 0;
Point 189 has a distance 53 to the tree, parent 0;
Point 190 has a distance 63 to the tree, parent 0;
Point 191 has a distance 107 to the tree, parent 0;
Point 192 has a distance 35 to the tree, parent 0;
Point 193 has a distance 18 to the tree, parent 0;
Point 194 has a distance 43 to the tree, parent 0;
Point 195 has a distance 130 to the tree, parent 0;
Point 196 has a distance 45 to the tree, parent 0;
Point 197 has a distance 84 to the tree, parent 0;
Point 198 has a distance 84 to the tree, parent 0;
Point 199 has a distance 88 to the tree, parent 0;
Point 200 has a distance 97 to the tree, parent 0;
Point 201 has a distance 27 to the tree, parent 0;
Point 202 has a distance 50 to the tree, parent 0;
Point 203 has a distance 30 to the tree, parent 0;
Point 204 has a distance 63 to the tree, parent 0;
Point 205 has a distance 29 to the tree, parent 0;
Point 206 has a distance 19 to the tree, parent 0;
Point 207 has a distance 56 to the tree, parent 0;
Point 208 has a distance 137 to the tree, parent 0;
Point 209 has a distance 45 to the tree, parent 0;
Point 210 has a distance 37 to the tree, parent 0;
Point 211 has a distance 85 to the tree, parent 0;
Point 212 has a distance 64 to the tree, parent 0;
Point 213 has a distance 84 to the tree, parent 0;
Point 214 has a distance 58 to the tree, parent 0;
Point 215 has a distance 83 to the tree, parent 0;
Point 216 has a distance 58 to the tree, parent 0;
Point 217 has a distance 37 to the tree, parent 0;
Point 218 has a distance 38 to the tree, parent 0;
Point 219 has a distance 109 to the tree, parent 0;
Point 220 has a distance 41 to the tree, parent 0;
Point 221 has a distance 146 to the tree, parent 0;
Point 222 has a distance 53 to the tree, parent 0;
Point 223 has a distance 99 to the tree, parent 0;
Point 224 has a distance 68 to the tree, parent 0;
Point 225 has a distance 20 to the tree, parent 0;
Point 226 has a distance 60 to the tree, parent 0;
Point 227 has a distance 93 to the tree, parent 0;
Point 228 has a distance 29 to the tree, parent 0;
Point 229 has a distance 102 to the tree, parent 0;
Point 230 has a distance 45 to the tree, parent 0;
Point 231 has a distance 15 to the tree, parent 0;
Point 232 has a distance 97 to the tree, parent 0;
Point 233 has a distance 135 to the tree, parent 0;
