Choosing point 0 as the root ...
Point 137 has a distance 595 to the tree, parent 0;
Point 138 has a distance 282 to the tree, parent 0;
Point 139 has a distance 578 to the tree, parent 0;
Point 140 has a distance 1211 to the tree, parent 0;
Point 141 has a distance 1176 to the tree, parent 0;
Point 142 has a distance 114 to the tree, parent 0;
Point 143 has a distance 800 to the tree, parent 0;
Point 144 has a distance 939 to the tree, parent 0;
Point 145 has a distance 1045 to the tree, parent 0;
Point 146 has a distance 1050 to the tree, parent 0;
Point 147 has a distance 693 to the tree, parent 0;
Point 148 has a distance 761 to the tree, parent 0;
Point 149 has a distance 1230 to the tree, parent 0;
Point 150 has a distance 1117 to the tree, parent 0;
Point 151 has a distance 760 to the tree, parent 0;
Point 152 has a distance 1158 to the tree, parent 0;
Point 153 has a distance 1555 to the tree, parent 0;
Point 154 has a distance 1056 to the tree, parent 0;
Point 155 has a distance 551 to the tree, parent 0;
Point 156 has a distance 472 to the tree, parent 0;
Point 157 has a distance 483 to the tree, parent 0;
Point 158 has a distance 700 to the tree, parent 0;
Point 159 has a distance 949 to the tree, parent 0;
Point 160 has a distance 746 to the tree, parent 0;
Point 161 has a distance 651 to the tree, parent 0;
Point 162 has a distance 1121 to the tree, parent 0;
Point 163 has a distance 591 to the tree, parent 0;
Point 164 has a distance 604 to the tree, parent 0;
Point 165 has a distance 762 to the tree, parent 0;
Point 166 has a distance 127 to the tree, parent 0;
Point 167 has a distance 395 to the tree, parent 0;
Point 168 has a distance 635 to the tree, parent 0;
Point 169 has a distance 509 to the tree, parent 0;
Point 170 has a distance 733 to the tree, parent 0;
Point 171 has a distance 894 to the tree, parent 0;
Point 172 has a distance 894 to the tree, parent 0;
Point 173 has a distance 746 to the tree, parent 0;
Point 174 has a distance 769 to the tree, parent 0;
Point 175 has a distance 224 to the tree, parent 0;
Point 176 has a distance 761 to the tree, parent 0;
Point 177 has a distance 937 to the tree, parent 0;
Point 178 has a distance 259 to the tree, parent 0;
Point 179 has a distance 702 to the tree, parent 0;
Point 180 has a distance 421 to the tree, parent 0;
Point 181 has a distance 103 to the tree, parent 0;
Point 182 has a distance 877 to the tree, parent 0;
Point 183 has a distance 1461 to the tree, parent 0;
Point 184 has a distance 977 to the tree, parent 0;
Point 185 has a distance 1141 to the tree, parent 0;
Point 186 has a distance 895 to the tree, parent 0;
Point 187 has a distance 853 to the tree, parent 0;
Point 188 has a distance 163 to the tree, parent 0;
Point 189 has a distance 1320 to the tree, parent 0;
Point 190 has a distance 1501 to the tree, parent 0;
Point 191 has a distance 914 to the tree, parent 0;
Point 192 has a distance 1200 to the tree, parent 0;
Point 193 has a distance 329 to the tree, parent 0;
Point 194 has a distance 589 to the tree, parent 0;
Point 195 has a distance 736 to the tree, parent 0;
Point 196 has a distance 1315 to the tree, parent 0;
Point 197 has a distance 1186 to the tree, parent 0;
Point 198 has a distance 380 to the tree, parent 0;
Point 199 has a distance 1022 to the tree, parent 0;
Point 200 has a distance 860 to the tree, parent 0;
Point 201 has a distance 695 to the tree, parent 0;
Point 202 has a distance 676 to the tree, parent 0;
Point 203 has a distance 210 to the tree, parent 0;
Point 204 has a distance 908 to the tree, parent 0;
Point 205 has a distance 1121 to the tree, parent 0;
Point 206 has a distance 590 to the tree, parent 0;
Point 207 has a distance 916 to the tree, parent 0;
Point 208 has a distance 959 to the tree, parent 0;
Point 209 has a distance 769 to the tree, parent 0;
Point 210 has a distance 285 to the tree, parent 0;
Point 211 has a distance 566 to the tree, parent 0;
Point 212 has a distance 1282 to the tree, parent 0;
Point 213 has a distance 540 to the tree, parent 0;
Point 214 has a distance 643 to the tree, parent 0;
Point 215 has a distance 542 to the tree, parent 0;
Point 216 has a distance 349 to the tree, parent 0;
Point 217 has a distance 1195 to the tree, parent 0;
Point 218 has a distance 514 to the tree, parent 0;
Point 219 has a distance 1038 to the tree, parent 0;
Point 220 has a distance 1032 to the tree, parent 0;
Point 221 has a distance 850 to the tree, parent 0;
Point 222 has a distance 821 to the tree, parent 0;
Point 223 has a distance 728 to the tree, parent 0;
Point 224 has a distance 997 to the tree, parent 0;
Point 225 has a distance 955 to the tree, parent 0;
Point 226 has a distance 629 to the tree, parent 0;
Point 227 has a distance 963 to the tree, parent 0;
Point 228 has a distance 519 to the tree, parent 0;
Point 229 has a distance 507 to the tree, parent 0;
Point 230 has a distance 719 to the tree, parent 0;
Point 231 has a distance 1602 to the tree, parent 0;
Point 232 has a distance 811 to the tree, parent 0;
Point 233 has a distance 867 to the tree, parent 0;
Point 234 has a distance 1408 to the tree, parent 0;
Point 235 has a distance 1064 to the tree, parent 0;
Point 236 has a distance 247 to the tree, parent 0;
Point 237 has a distance 513 to the tree, parent 0;
Point 238 has a distance 1140 to the tree, parent 0;
Point 239 has a distance 538 to the tree, parent 0;
Point 240 has a distance 538 to the tree, parent 0;
Point 241 has a distance 1405 to the tree, parent 0;
Point 242 has a distance 921 to the tree, parent 0;
Point 243 has a distance 632 to the tree, parent 0;
